SpC,Ca,pH,T_C
223,40.6,7.8,15
221,40.1,7.8,15
147,25.4,7.8,15
181,31.6,7.8,15
162,27.6,7.8,15
199,35.3,7.8,15
214,37.6,7.8,15
225,38.7,7.8,15
230,39.5,7.8,15
210,36.2,7.8,15
127,18.8,7.8,15
159,27.2,7.8,15
193,34.2,7.8,15
217,38,7.8,15
222,38.6,7.8,15
241,43.9,7.8,15
244,44.4,7.8,15
255,47.2,7.8,15
262,49,7.8,15
282,50.1,7.8,15
272,46.2,7.8,15
271,50.9,7.8,15
284,51.9,7.8,15
292,53,7.8,15
298,49.6,7.8,15
303.952,54.2,7.8,15
307,53.8,7.8,15
304,55.2,7.8,15
309,53.6,7.8,15
312,55.4,7.8,15
236,49.2,7.8,15
236,45.6,7.8,15
286,54,7.8,15
286,55.6,7.8,15
282,48.4,7.8,15
282,50,7.8,15
238,50,7.8,15
238,47.2,7.8,15
271,49.2,7.8,15
271,50,7.8,15
201,25.2,7.8,15
201,24.4,7.8,15
149.3,32.4,7.8,15
149.3,32,7.8,15
289,46.6,7.8,15
294,48.2,7.8,15
159,26.4,7.8,15
247,40.1,7.8,15
213,34.9,7.8,15
257,43.1,7.8,15
270,45.2,7.8,15
285,47.5,7.8,15
294,46.9,7.8,15
247,42.4,7.8,15
110,16.9,7.8,15
193,31.1,7.8,15
236,39.3,7.8,15
274.8454,44.1,7.8,15
282.601,45.1,7.8,15
294.2344,49.7,7.8,15
298.7585,50.9,7.8,15
301.99,52,7.8,15
304,53.5,7.8,15
309,53.6,7.8,15
308,53.5,7.8,15
316,55.2,7.8,15
326,57.5,7.8,15
332,59.2,7.8,15
330,58.2,7.8,15
329,59,7.8,15
331,60,7.8,15
332,59.7,7.8,15
333,61.5,7.8,15
337,61.4,7.8,15
267,52.8,7.8,15
267,54,7.8,15
303,54.8,7.8,15
303,52,7.8,15
282,49.6,7.8,15
282,53.2,7.8,15
269,54.4,7.8,15
269,52.8,7.8,15
340,56,7.8,15
340,55.2,7.8,15
170,24,7.8,15
170,24.8,7.8,15
147,23.2,7.8,15
147,23.6,7.8,15
